Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
pilz_industrial_motion_planner_testutils,1.1.16-49-g4838449d7-2025.12.13.12.50,https://github.com/moveit/moveit/tree/master,success,pilz_industrial_motion_planner_testutils_1.1.16-49-g4838449d7-2025.12.13.12.50-bloom_generate.log,ros-one-pilz-industrial-motion-planner-testutils_1.1.16-49-g4838449d7-2025.12.13.12.50_amd64-2025-12-13T12:50:07Z.build,ros-one-pilz-industrial-motion-planner-testutils_1.1.16-49-g4838449d7-2025.12.13.12.50_amd64.deb,ros-one-pilz-industrial-motion-planner-testutils_1.1.16-49-g4838449d7-2025.12.13.12.50_amd64.files
pilz_industrial_motion_planner,1.1.16-49-g4838449d7-2025.12.13.12.55,https://github.com/moveit/moveit/tree/master,success,pilz_industrial_motion_planner_1.1.16-49-g4838449d7-2025.12.13.12.55-bloom_generate.log,ros-one-pilz-industrial-motion-planner_1.1.16-49-g4838449d7-2025.12.13.12.55_amd64-2025-12-13T12:55:28Z.build,ros-one-pilz-industrial-motion-planner_1.1.16-49-g4838449d7-2025.12.13.12.55_amd64.deb,ros-one-pilz-industrial-motion-planner_1.1.16-49-g4838449d7-2025.12.13.12.55_amd64.files
ethercat_trigger_controllers,1.10.18-3-g8e8dfa0-2025.12.13.09.25,https://github.com/pr2/pr2_controllers/tree/melodic-devel,success,ethercat_trigger_controllers_1.10.18-3-g8e8dfa0-2025.12.13.09.25-bloom_generate.log,ros-one-ethercat-trigger-controllers_1.10.18-3-g8e8dfa0-2025.12.13.09.25_amd64-2025-12-13T09:26:01Z.build,ros-one-ethercat-trigger-controllers_1.10.18-3-g8e8dfa0-2025.12.13.09.25_amd64.deb,ros-one-ethercat-trigger-controllers_1.10.18-3-g8e8dfa0-2025.12.13.09.25_amd64.files
franka_description,0.8.1-370-gfc9b4cc-2025.12.13.09.30,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_description_0.8.1-370-gfc9b4cc-2025.12.13.09.30-bloom_generate.log,ros-one-franka-description_0.8.1-370-gfc9b4cc-2025.12.13.09.30_amd64-2025-12-13T09:30:38Z.build,ros-one-franka-description_0.8.1-370-gfc9b4cc-2025.12.13.09.30_amd64.deb,ros-one-franka-description_0.8.1-370-gfc9b4cc-2025.12.13.09.30_amd64.files
franka_gripper,0.8.1-370-gfc9b4cc-2025.12.13.09.34,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_gripper_0.8.1-370-gfc9b4cc-2025.12.13.09.34-bloom_generate.log,ros-one-franka-gripper_0.8.1-370-gfc9b4cc-2025.12.13.09.34_amd64-2025-12-13T09:34:53Z.build,ros-one-franka-gripper_0.8.1-370-gfc9b4cc-2025.12.13.09.34_amd64.deb,ros-one-franka-gripper_0.8.1-370-gfc9b4cc-2025.12.13.09.34_amd64.files
franka_msgs,0.8.1-370-gfc9b4cc-2025.12.13.09.40,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_msgs_0.8.1-370-gfc9b4cc-2025.12.13.09.40-bloom_generate.log,ros-one-franka-msgs_0.8.1-370-gfc9b4cc-2025.12.13.09.40_amd64-2025-12-13T09:40:06Z.build,ros-one-franka-msgs_0.8.1-370-gfc9b4cc-2025.12.13.09.40_amd64.deb,ros-one-franka-msgs_0.8.1-370-gfc9b4cc-2025.12.13.09.40_amd64.files
franka_hw,0.8.1-370-gfc9b4cc-2025.12.13.09.44,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_hw_0.8.1-370-gfc9b4cc-2025.12.13.09.44-bloom_generate.log,ros-one-franka-hw_0.8.1-370-gfc9b4cc-2025.12.13.09.44_amd64-2025-12-13T09:44:27Z.build,ros-one-franka-hw_0.8.1-370-gfc9b4cc-2025.12.13.09.44_amd64.deb,ros-one-franka-hw_0.8.1-370-gfc9b4cc-2025.12.13.09.44_amd64.files
franka_control,0.8.1-370-gfc9b4cc-2025.12.13.09.49,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_control_0.8.1-370-gfc9b4cc-2025.12.13.09.49-bloom_generate.log,ros-one-franka-control_0.8.1-370-gfc9b4cc-2025.12.13.09.49_amd64-2025-12-13T09:49:31Z.build,ros-one-franka-control_0.8.1-370-gfc9b4cc-2025.12.13.09.49_amd64.deb,ros-one-franka-control_0.8.1-370-gfc9b4cc-2025.12.13.09.49_amd64.files
franka_example_controllers,0.8.1-370-gfc9b4cc-2025.12.13.09.54,https://github.com/rhaschke/franka_ros/tree/ros-o,success,franka_example_controllers_0.8.1-370-gfc9b4cc-2025.12.13.09.54-bloom_generate.log,ros-one-franka-example-controllers_0.8.1-370-gfc9b4cc-2025.12.13.09.54_amd64-2025-12-13T09:54:32Z.build,ros-one-franka-example-controllers_0.8.1-370-gfc9b4cc-2025.12.13.09.54_amd64.deb,ros-one-franka-example-controllers_0.8.1-370-gfc9b4cc-2025.12.13.09.54_amd64.files
franka_gazebo,0.8.1-370-gfc9b4cc-2025.12.13.10.00,https://github.com/rhaschke/franka_ros/tree/ros-o,failed-sbuild,franka_gazebo_0.8.1-370-gfc9b4cc-2025.12.13.10.00-bloom_generate.log,ros-one-franka-gazebo_0.8.1-370-gfc9b4cc-2025.12.13.10.00_amd64-2025-12-13T10:00:51Z.build,,
